address,price,description,venue,phone,website,title,fullDates,moreInfo
2416 N. Mills Ave.,$8,"XY/Gender Representation in Art -  	Drawing from the permanent collection, the exhibit examines the roles of women and men in different cultures and time periods",Orlando Museum of Art,(407) 896-4231,http://www.omart.org,XX-XY/Gender Representation in Art,"6/4 12:00PM, 5/13 10:00AM, 5/20 10:00AM, 6/2 10:00AM, 5/31 10:00AM, 6/1 10:00AM, 4/24 12:00PM, 5/22 12:00PM, 5/28 12:00PM, 5/11 10:00AM, 5/29 12:00PM, 5/19 10:00AM, 5/10 10:00AM, 5/8 12:00PM, 5/7 12:00PM, 5/6 10:00AM, 5/12 10:00AM, 5/14 12:00PM, 5/15 12:00PM, 5/18 10:00AM, 5/21 12:00PM, 5/17 10:00AM, 5/26 10:00AM, 6/3 10:00AM, 5/25 10:00AM, 6/5 12:00PM, 5/5 10:00AM, 4/27 10:00AM, 4/26 10:00AM, 5/24 10:00AM, 4/29 10:00AM, 4/28 10:00AM, 4/30 12:00PM, 5/4 10:00AM, 5/3 10:00AM, 5/1 12:00PM, 5/27 10:00AM",http://calendar.orlandoweekly.com/Events/e8565/XX-XYGender_Representation_in_Art
Daytona State College,free,"Lorna Bieber uses collage, paint, photocopier and computer technology to build traditional silver photographs",Southeast Museum of Photography,(386) 506-4475,http://www.smponline.org,Images: Found and Lost,"4/27 11:00AM, 5/6 11:00AM, 5/15 1:00PM, 5/25 11:00AM, 4/24 1:00PM, 4/26 11:00AM, 5/7 1:00PM, 4/28 11:00AM, 5/4 11:00AM, 5/5 11:00AM, 4/29 11:00AM, 5/3 11:00AM, 4/30 1:00PM, 5/8 1:00PM, 5/10 11:00AM, 5/11 11:00AM, 5/12 11:00AM, 5/13 11:00AM, 5/14 1:00PM, 5/20 11:00AM, 5/28 1:00PM, 5/29 1:00PM, 5/21 1:00PM, 5/27 11:00AM, 5/22 1:00PM, 5/26 11:00AM, 5/24 11:00AM, 5/17 11:00AM, 5/18 11:00AM, 5/1 1:00PM, 5/19 11:00AM",http://calendar.orlandoweekly.com/Events/e10061/Images_Found_and_Lost
Daytona State College,free,Stuart Rome&#39;s landscape images focus on the relationship between people and their environment,Southeast Museum of Photography,(386) 506-4475,http://www.smponline.org,Signs and Wonders,"4/30 1:00PM, 4/24 1:00PM, 5/7 1:00PM, 5/13 11:00AM, 5/12 11:00AM, 5/4 11:00AM, 4/28 11:00AM, 4/26 11:00AM, 5/3 11:00AM, 4/29 11:00AM, 5/1 1:00PM, 5/11 11:00AM, 5/10 11:00AM, 5/8 1:00PM, 5/6 11:00AM, 4/27 11:00AM, 5/5 11:00AM",http://calendar.orlandoweekly.com/Events/e10140/Signs_and_Wonders
2416 N. Mills Ave.,$8,Series of sculptures by glass artist Therman Statom of Flying Horse Editions,Orlando Museum of Art,(407) 896-4231,http://www.omart.org,Caballo Volador Project,4/24 12:00PM,http://calendar.orlandoweekly.com/Events/e10353/Caballo_Volador_Project
900 E. Princeton St.,$4,Exhibit celebrates the 75th anniversary of the Public Works of Art Project with 56 artworks,Mennello Museum of American Art,(407) 246-4278,http://www.mennellomuseum.org,1934: A New Deal for Artists,"4/24 12:00PM, 4/27 10:30AM, 4/26 10:30AM, 4/28 10:30AM, 4/30 10:30AM, 4/29 10:30AM, 5/1 12:00PM",http://calendar.orlandoweekly.com/Events/e10683/1934_A_New_Deal_for_Artists
400 S. Orange Ave.,free,Solo exhibition features cityscape paintings by Donna Frank,The Mayor's Gallery at Orlando City Hall,(407) 246-4279,http://www.cityoforlando.net,Moments In Time,"4/27 8:00AM, 4/25 8:00AM, 4/24 12:00PM, 4/26 8:00AM",http://calendar.orlandoweekly.com/Events/e11061/Moments_In_Time
1321 N. Mills Ave.,free,New works by the Orlando artist,The Peacock Room,(407) 228-0048,http://www.thepeacockroom.com,Jennifer Payne Solo Exhibition,"5/8 8:00PM, 5/9 4:30PM, 5/5 4:30PM, 5/6 4:30PM, 4/24 8:00PM, 4/25 4:30PM, 4/26 4:30PM, 4/27 4:30PM, 4/28 4:30PM, 4/29 4:30PM, 4/30 8:00PM, 5/1 8:00PM, 5/2 4:30PM, 5/3 4:30PM, 5/4 4:30PM, 5/7 8:00PM, 5/10 4:30PM, 5/11 4:30PM, 5/12 4:30PM, 5/13 4:30PM, 5/14 8:00PM",http://calendar.orlandoweekly.com/Events/e11280/Jennifer_Payne_Solo_Exhibition
2416 N. Mills Ave.,$8,Mini-exhibition that compliments the 1934: A New Deal for Artists exhibit at the Mennello Museum of American Art,Orlando Museum of Art,(407) 896-4231,http://www.omart.org,Art for the People: American Prints of the Depression Era,"5/5 10:00AM, 5/1 12:00PM, 5/7 12:00PM, 5/4 10:00AM, 4/24 12:00PM, 5/21 12:00PM, 5/24 10:00AM, 6/3 10:00AM, 5/27 10:00AM, 5/25 10:00AM, 6/2 10:00AM, 5/28 12:00PM, 6/1 10:00AM, 6/5 12:00PM, 6/4 12:00PM, 5/29 12:00PM, 5/26 10:00AM, 5/15 12:00PM, 5/31 10:00AM, 5/20 10:00AM, 5/22 12:00PM, 5/18 10:00AM, 5/19 10:00AM, 5/17 10:00AM, 5/14 12:00PM, 5/13 10:00AM, 5/12 10:00AM, 5/11 10:00AM, 5/10 10:00AM, 4/30 12:00PM, 5/3 10:00AM, 5/6 10:00AM, 5/8 12:00PM, 4/28 10:00AM, 4/27 10:00AM, 4/29 10:00AM, 4/26 10:00AM",http://calendar.orlandoweekly.com/Events/e11624/Art_for_the_People_American_Prints_of_the_Depression_Era
817 E. Washington St.,free,"Artworks by Phil Noto, Eric Althin, Patrick Fatica, Denika Robbins and others",Mother Falcon Clothing,(407) 423-3060,http://www.motherfalconclothing.com,The Cold War,"4/24 12:00PM, 4/27 11:00AM, 4/28 11:00AM, 4/29 11:00AM",http://calendar.orlandoweekly.com/Events/e11729/The_Cold_War
633 Osceola Ave.,free,3rd annual event features 28 plein air artists creating works in an outdoor setting; through Apr. 30,Albin Polasek Museum and Sculpture Gardens,(407) 647-6294,http://polasek.org,Winter Park Paint Out,"4/26 10:00AM, 4/27 10:00AM, 4/24 1:00PM, 4/25 10:00AM, 4/29 10:00AM, 4/30 10:00AM, 4/28 10:00AM",http://calendar.orlandoweekly.com/Events/e11957/Winter_Park_Paint_Out
1000 Holt Ave.,$5,Art show honoring print artist Toshusai Sharaku; through June 12,"Cornell Fine Arts Museum, Rollins College",(407) 646-2526,http://www.cfam.rollins.edu,Sharaku Interpreted by Japan\u0027s Contemporary Artists,"6/3 10:00AM, 4/24 12:00PM, 6/9 10:00AM, 4/27 10:00AM, 5/6 10:00AM, 5/5 10:00AM, 6/2 10:00AM, 5/4 10:00AM, 4/26 10:00AM, 4/29 10:00AM, 6/8 10:00AM, 4/28 10:00AM, 5/3 10:00AM, 5/7 12:00PM, 5/8 12:00PM, 5/10 10:00AM, 5/11 10:00AM, 5/12 10:00AM, 5/13 10:00AM, 5/14 12:00PM, 5/15 12:00PM, 5/17 10:00AM, 5/18 10:00AM, 5/19 10:00AM, 5/20 10:00AM, 5/21 12:00PM, 5/22 12:00PM, 5/24 10:00AM, 5/25 10:00AM, 5/26 10:00AM, 5/27 10:00AM, 5/28 12:00PM, 5/29 12:00PM, 5/31 10:00AM, 6/1 10:00AM, 6/4 12:00PM, 6/5 12:00PM, 6/7 10:00AM, 6/10 10:00AM, 6/11 12:00PM, 6/12 12:00PM, 4/30 12:00PM, 5/1 12:00PM",http://calendar.orlandoweekly.com/Events/e12037/Sharaku_Interpreted_by_Japans_Contemporary_Artists
211 E. First St.,free,The studio artists produce 100 original pieces all priced at $100 or less,Gallery on First,(407) 323-2774,http://www.galleryonfirst.com,100 for $100,"4/26 10:00AM, 4/27 10:00AM, 4/28 10:00AM, 4/29 10:00AM, 4/30 10:00AM, 4/24 12:00PM",http://calendar.orlandoweekly.com/Events/e12266/100_for_100
29 S. Orange Ave.,free,Urban-style panda bear art installation by Aaron &quot;Angry Woebots&quot; Martin; through April 24,Redefine Pop-Up Gallery,(407) 648-7060,http://www.redefinepopupgallery.com,Fangs & Fury,4/24 11:00AM,http://calendar.orlandoweekly.com/Events/e12333/Fangs_and_Fury
2411 E. Highway 192,free,Students display their work,Osceola Center for the Arts,(407) 846-6257,http://www.ocfta.com,Osceola Student Art Show,"4/25 9:00AM, 4/26 9:00AM",http://calendar.orlandoweekly.com/Events/e5440/Osceola_Student_Art_Show
201 S. Rosalind Ave.,free,Exhibit features works from the European Townscapes and Landscapes collection by J. Andre Smith,Orange County Administration Building,(407) 836-5540,,Art in the Chambers,"4/25 8:00AM, 4/26 8:00AM, 4/27 8:00AM, 4/28 8:00AM, 4/29 8:00AM, 5/2 8:00AM, 5/3 8:00AM, 5/4 8:00AM, 5/5 8:00AM, 5/6 8:00AM, 5/9 8:00AM, 5/10 8:00AM, 5/11 8:00AM, 5/12 8:00AM, 5/13 8:00AM, 5/16 8:00AM, 5/17 8:00AM, 5/18 8:00AM, 5/19 8:00AM, 5/20 8:00AM",http://calendar.orlandoweekly.com/Events/e9932/Art_in_the_Chambers
600 St. Andrews Blvd.,free,The Miami-based artist&#39;s paintings are constructed from urban architectural elements; through May 28,Crealde School of Art,(407) 671-1886,http://www.crealde.org,Lot Lines: The Paintings of Jenny Brillhart,"4/29 9:00AM, 5/10 9:00AM, 4/26 9:00AM, 4/25 9:00AM, 5/19 9:00AM, 5/13 9:00AM, 5/14 9:00AM, 5/27 9:00AM, 4/28 9:00AM, 5/12 9:00AM, 5/26 9:00AM, 5/16 9:00AM, 5/7 9:00AM, 5/9 9:00AM, 5/18 9:00AM, 5/6 9:00AM, 5/2 9:00AM, 5/5 9:00AM, 5/17 9:00AM, 5/3 9:00AM, 5/23 9:00AM, 5/4 9:00AM, 5/25 9:00AM, 4/27 9:00AM, 5/11 9:00AM, 5/21 9:00AM, 5/24 9:00AM, 5/20 9:00AM, 5/28 9:00AM, 4/30 9:00AM",http://calendar.orlandoweekly.com/Events/e10269/Lot_Lines_The_Paintings_of_Jenny_Brillhart
841 N. Park Ave.,free,The art of Mary J. Gray,University Club,(407) 644-6149,http://www.uclubwp.org,"People, Places, Plein Air ... Plus","4/25 9:00AM, 4/26 9:00AM",http://calendar.orlandoweekly.com/Events/e11691/People_Places_Plein_Air__Plus
100 Weldon Blvd.,free,"42nd annual group art show includes works in photography, painting, sculpture and more",Seminole State College Fine Arts Gallery,(407) 708-2040,http://www.seminolestate.edu/arts,Juried Student Art Exhibit,"5/16 9:00AM, 5/9 9:00AM, 4/25 9:00AM, 4/26 9:00AM, 4/27 9:00AM, 4/28 9:00AM, 5/2 9:00AM, 5/3 9:00AM, 5/4 9:00AM, 5/5 9:00AM, 5/10 9:00AM, 5/11 9:00AM, 5/12 9:00AM, 5/17 9:00AM, 5/18 9:00AM, 5/19 9:00AM",http://calendar.orlandoweekly.com/Events/e11723/Juried_Student_Art_Exhibit
1221-C N. Orange Ave.,free,Artworks by Robert and Carla Poindexter,Twelve21 Gallery,(407) 982-4357,http://www.twelve21gallery.com,Our Small Private Stories,"5/6 9:00AM, 5/5 9:00AM, 5/4 9:00AM, 5/3 9:00AM, 4/29 9:00AM, 4/26 9:00AM, 4/25 9:00AM, 4/28 9:00AM, 4/27 9:00AM, 5/2 9:00AM",http://calendar.orlandoweekly.com/Events/e11866/Our_Small_Private_Stories
946 N. Mills Ave.,free,"Annual event features works by Frank LoPinto, Dave Dodson, Jackie Blue, Barbara Hughes, Anje Dardin and durkART; exhibit through Apr. 29",Gallery Q,(407) 228-8272,http://www.flquack.org,Bold Art 6,"4/29 9:00AM, 4/26 9:00AM, 4/27 9:00AM, 4/28 9:00AM, 4/25 9:00AM",http://calendar.orlandoweekly.com/Events/e11878/Bold_Art_6
Valencia Community College East Campus,free,Featuring works by Valencia&#39;s fine arts and graphics students,Anita S. Wooten Gallery,(407) 582-2289,http://www.valenciacc.edu,Annual Juried Student Exhibition,"5/17 8:30AM, 5/18 8:30AM, 5/11 8:30AM, 5/5 8:30AM, 4/28 8:30AM, 4/26 8:30AM, 4/25 8:30AM, 5/4 8:30AM, 5/9 8:30AM, 5/3 8:30AM, 4/29 8:30AM, 5/6 8:30AM, 5/10 8:30AM, 5/13 8:30AM, 5/16 8:30AM, 5/12 8:30AM, 4/27 8:30AM, 5/2 8:30AM, 5/19 8:30AM, 5/20 8:30AM",http://calendar.orlandoweekly.com/Events/e11952/Annual_Juried_Student_Exhibition
4000 Central Florida Blvd.,free,10th annual UCF BFA student art show,UCF Visual Arts Building,(407) 823-2000,,Overload Studio Art Show,"4/25 10:00AM, 4/26 10:00AM, 4/28 10:00AM, 4/29 10:00AM, 4/27 10:00AM",http://calendar.orlandoweekly.com/Events/e11932/Overload_Studio_Art_Show
500 W. Livingston St.,free,10th annual UCF BFA student art show,UCF Center for Emerging Media,(407) 823-2121,,Overload Digital Art Show,"4/26 10:00AM, 4/25 10:00AM, 4/28 10:00AM, 4/27 10:00AM, 4/29 10:00AM",http://calendar.orlandoweekly.com/Events/e11934/Overload_Digital_Art_Show
"5601 S. Semoran Blvd., Suite 500",free,More than 40 artworks from Maria do Socorro Freire and Ulysses Mora,Ana G. Mendez University System Art Gallery,(407) 207-3363,,Embracing Two Cultures Through Art: Brazil and Mexico,"5/10 9:00AM, 5/7 8:00AM, 5/24 9:00AM, 5/11 9:00AM, 6/18 8:00AM, 5/13 9:00AM, 5/14 8:00AM, 5/19 9:00AM, 5/20 9:00AM, 5/21 8:00AM, 5/16 9:00AM, 5/23 9:00AM, 5/4 9:00AM, 5/12 9:00AM, 6/7 9:00AM, 6/8 9:00AM, 4/28 9:00AM, 5/9 9:00AM, 5/18 9:00AM, 5/27 9:00AM, 6/6 9:00AM, 6/15 9:00AM, 6/24 9:00AM, 5/17 9:00AM, 6/16 9:00AM, 6/2 9:00AM, 6/1 9:00AM, 4/29 9:00AM, 6/3 9:00AM, 6/14 9:00AM, 6/13 9:00AM, 6/20 9:00AM, 6/21 9:00AM, 6/22 9:00AM, 6/28 9:00AM, 6/29 9:00AM, 6/23 9:00AM, 6/27 9:00AM, 6/25 8:00AM, 6/17 9:00AM, 6/4 8:00AM, 5/5 9:00AM, 6/11 8:00AM, 6/10 9:00AM, 6/30 9:00AM, 5/2 9:00AM, 4/30 8:00AM, 5/3 9:00AM, 6/9 9:00AM, 4/25 9:00AM, 4/26 9:00AM, 4/27 9:00AM, 5/6 9:00AM, 5/26 9:00AM, 5/30 9:00AM, 5/28 8:00AM, 5/31 9:00AM, 5/25 9:00AM",http://calendar.orlandoweekly.com/Events/e12193/Embracing_Two_Cultures_Through_Art_Brazil_and_Mexico
642 W. New England Ave.,free,Featuring 55 framed prints by Kitty Kitson Petterson,Hannibal Square Heritage Center,(407) 539-2680,http://www.hannibalsquareheritagecenter.org,The Art of Uncle Monday and Other Florida Tales,"6/14 12:00PM, 5/21 10:00AM, 4/29 12:00PM, 5/24 12:00PM, 5/26 12:00PM, 5/31 12:00PM, 5/27 12:00PM, 5/25 12:00PM, 6/1 12:00PM, 5/28 10:00AM, 6/2 12:00PM, 6/4 10:00AM, 6/8 12:00PM, 4/26 12:00PM, 4/28 12:00PM, 6/3 12:00PM, 7/13 12:00PM, 4/27 12:00PM, 6/7 12:00PM, 7/30 10:00AM, 5/12 12:00PM, 7/29 12:00PM, 7/12 12:00PM, 8/2 12:00PM, 7/15 12:00PM, 8/5 12:00PM, 8/3 12:00PM, 8/12 12:00PM, 8/11 12:00PM, 8/6 10:00AM, 5/7 10:00AM, 5/6 12:00PM, 5/4 12:00PM, 5/5 12:00PM, 5/3 12:00PM, 4/30 10:00AM, 5/10 12:00PM, 8/10 12:00PM, 5/13 12:00PM, 5/11 12:00PM, 8/9 12:00PM, 8/17 12:00PM, 8/16 12:00PM, 8/20 10:00AM, 8/26 12:00PM, 8/25 12:00PM, 8/27 10:00AM, 8/24 12:00PM, 8/18 12:00PM, 8/23 12:00PM, 8/19 12:00PM, 7/28 12:00PM, 8/4 12:00PM, 7/14 12:00PM, 5/18 12:00PM, 5/14 10:00AM, 5/19 12:00PM, 5/20 12:00PM, 5/17 12:00PM, 7/21 12:00PM, 6/9 12:00PM, 6/11 10:00AM, 6/10 12:00PM, 7/26 12:00PM, 7/22 12:00PM, 7/20 12:00PM, 7/16 10:00AM, 7/19 12:00PM, 7/23 10:00AM, 7/27 12:00PM, 8/13 10:00AM, 6/25 10:00AM, 7/9 10:00AM, 7/5 12:00PM, 7/2 10:00AM, 6/22 12:00PM, 6/17 12:00PM, 6/24 12:00PM, 6/16 12:00PM, 6/15 12:00PM, 6/18 10:00AM, 6/23 12:00PM, 6/21 12:00PM, 6/30 12:00PM, 6/29 12:00PM, 7/6 12:00PM, 7/1 12:00PM, 6/28 12:00PM, 7/7 12:00PM, 7/8 12:00PM",http://calendar.orlandoweekly.com/Events/e7098/The_Art_of_Uncle_Monday_and_Other_Florida_Tales
29 S. Orange Ave.,free-$.50,Interactive performance installation by Brian Feldman; through Dec. 31,SAK Comedy Lab,(407) 648-0001,http://www.twitter.com/skillcranekid,The Skill Crane Kid,"6/4 11:30PM, 9/17 9:30PM, 9/16 7:30PM, 7/23 9:30PM, 5/12 9:30PM, 5/14 11:30PM, 5/21 11:30PM, 10/29 9:30PM, 5/7 11:30PM, 11/8 9:00PM, 12/2 11:30PM, 11/17 7:30PM, 11/12 9:30PM, 11/11 7:30PM, 11/4 11:30PM, 11/3 7:30PM, 8/12 11:30PM, 8/12 7:30PM, 10/20 7:30PM, 11/25 7:30PM, 6/1 9:00PM, 6/2 9:30PM, 6/9 9:30PM, 10/21 11:30PM, 10/28 7:30PM, 10/25 9:00PM, 6/3 9:30PM, 8/4 7:30PM, 6/11 7:30PM, 6/3 11:30PM, 6/15 9:00PM, 6/11 11:30PM, 6/9 7:30PM, 6/10 9:30PM, 6/8 9:00PM, 6/4 7:30PM, 5/28 7:30PM, 5/28 11:30PM, 4/26 9:00PM, 4/27 9:00PM, 4/28 7:30PM, 4/29 7:30PM, 4/29 9:30PM, 4/29 11:30PM, 4/30 9:30PM, 4/30 11:30PM, 5/3 9:00PM, 5/5 7:30PM, 5/5 9:30PM, 5/6 7:30PM, 5/6 11:30PM, 5/7 7:30PM, 5/7 9:30PM, 5/10 9:00PM, 5/11 9:00PM, 5/12 7:30PM, 5/13 7:30PM, 5/13 9:30PM, 5/13 11:30PM, 5/14 9:30PM, 5/17 9:00PM, 5/19 7:30PM, 5/19 9:30PM, 5/20 7:30PM, 5/20 11:30PM, 5/24 9:00PM, 5/27 7:30PM, 5/27 11:30PM, 5/28 9:30PM, 5/31 9:00PM, 6/2 7:30PM, 6/3 7:30PM, 6/4 9:30PM, 6/7 9:00PM, 6/10 7:30PM, 6/10 11:30PM, 6/11 9:30PM, 6/14 9:00PM, 6/16 7:30PM, 6/17 9:30PM, 6/18 7:30PM, 6/22 9:00PM, 6/23 9:30PM, 6/24 9:30PM, 6/24 11:30PM, 6/25 7:30PM, 6/25 11:30PM, 6/28 9:00PM, 6/29 9:00PM, 6/30 9:30PM, 7/1 7:30PM, 7/1 9:30PM, 7/2 7:30PM, 7/2 9:30PM, 7/2 11:30PM, 7/6 9:00PM, 7/7 7:30PM, 7/7 9:30PM, 7/8 9:30PM, 7/8 11:30PM, 7/9 7:30PM, 7/9 11:30PM, 7/12 9:00PM, 7/13 9:00PM, 7/14 9:30PM, 7/15 7:30PM, 7/15 9:30PM, 7/16 7:30PM, 7/16 9:30PM, 7/16 11:30PM, 7/20 9:00PM, 7/21 7:30PM, 7/21 9:30PM, 7/22 9:30PM, 7/22 11:30PM, 7/23 7:30PM, 7/23 11:30PM, 7/27 9:00PM, 7/28 9:30PM, 7/29 9:30PM, 7/30 7:30PM, 7/30 11:30PM, 8/3 9:00PM, 8/4 9:30PM, 8/5 9:30PM, 8/6 7:30PM, 8/6 11:30PM, 8/9 9:00PM, 8/10 9:00PM, 8/11 9:30PM, 8/12 9:30PM, 8/13 7:30PM, 8/17 9:00PM, 8/18 7:30PM, 8/18 9:30PM, 8/19 9:30PM, 8/19 11:30PM, 8/20 7:30PM, 8/24 9:00PM, 8/25 9:30PM, 8/27 7:30PM, 8/27 9:30PM, 8/27 11:30PM, 8/31 9:00PM, 9/1 7:30PM, 9/1 9:30PM, 9/2 9:30PM, 9/2 11:30PM, 9/3 7:30PM, 9/3 11:30PM, 9/6 9:00PM, 9/7 9:00PM, 9/8 9:30PM, 9/9 7:30PM, 9/9 9:30PM, 9/9 11:30PM, 9/10 7:30PM, 9/10 9:30PM, 9/10 11:30PM, 9/14 9:00PM, 9/15 7:30PM, 9/15 9:30PM, 9/16 9:30PM, 9/16 11:30PM, 9/17 7:30PM, 9/17 11:30PM, 9/20 9:00PM, 9/21 9:00PM, 9/22 9:30PM, 9/23 7:30PM, 9/23 9:30PM, 9/24 7:30PM, 9/24 9:30PM, 9/24 11:30PM, 9/28 9:00PM, 9/29 7:30PM, 9/29 9:30PM, 9/30 9:30PM, 9/30 11:30PM, 10/1 7:30PM, 10/1 11:30PM, 10/4 9:00PM, 10/5 9:00PM, 10/6 9:30PM, 10/7 7:30PM, 10/7 9:30PM, 10/8 7:30PM, 10/8 9:30PM, 10/8 11:30PM, 10/12 9:00PM, 10/13 7:30PM, 10/13 9:30PM, 10/14 9:30PM, 10/14 11:30PM, 10/15 7:30PM, 10/15 11:30PM, 10/18 9:00PM, 10/19 9:00PM, 10/20 9:30PM, 10/21 7:30PM, 10/21 9:30PM, 10/22 7:30PM, 10/22 9:30PM, 10/22 11:30PM, 10/26 9:00PM, 10/27 7:30PM, 10/27 9:30PM, 10/28 9:30PM, 10/28 11:30PM, 10/29 7:30PM, 10/29 11:30PM, 11/1 9:00PM, 11/2 9:00PM, 11/3 9:30PM, 11/4 7:30PM, 11/4 9:30PM, 11/5 7:30PM, 11/5 9:30PM, 11/5 11:30PM, 11/9 9:00PM, 11/10 7:30PM, 11/10 9:30PM, 11/11 9:30PM, 11/11 11:30PM, 11/12 7:30PM, 11/12 11:30PM, 11/15 9:00PM, 11/16 9:00PM, 11/17 9:30PM, 11/18 7:30PM, 11/18 9:30PM, 11/19 7:30PM, 11/19 11:30PM, 11/23 9:00PM, 11/24 7:30PM, 11/24 9:30PM, 11/25 9:30PM, 11/26 7:30PM, 11/26 11:30PM, 11/29 9:00PM, 11/30 9:00PM, 12/1 9:30PM, 12/2 7:30PM, 12/2 9:30PM, 12/3 7:30PM, 12/3 11:30PM, 12/7 9:00PM, 12/8 9:30PM, 12/9 9:30PM, 12/10 7:30PM, 12/10 11:30PM, 12/14 9:00PM, 12/15 9:30PM, 12/16 7:30PM, 12/16 9:30PM, 12/17 7:30PM, 12/17 9:30PM, 12/17 11:30PM, 12/21 9:00PM, 12/22 7:30PM, 12/22 9:30PM, 12/23 9:30PM, 12/23 11:30PM, 12/24 7:30PM, 12/28 9:00PM, 12/29 9:30PM, 12/30 7:30PM, 12/30 9:30PM, 12/31 7:30PM, 12/31 9:30PM, 12/31 11:30PM, 11/18 11:30PM, 5/27 9:30PM, 11/19 9:30PM, 12/3 9:30PM, 12/1 7:30PM, 11/25 11:30PM, 11/26 9:30PM, 11/22 9:00PM, 8/11 7:30PM, 6/17 11:30PM, 8/19 7:30PM, 7/1 11:30PM, 7/5 9:00PM, 6/23 7:30PM, 6/24 7:30PM, 9/13 9:00PM, 6/30 7:30PM, 6/25 9:30PM, 9/22 7:30PM, 9/27 9:00PM, 6/21 9:00PM, 9/30 7:30PM, 12/20 9:00PM, 9/23 11:30PM, 5/14 7:30PM, 6/18 11:30PM, 5/6 9:30PM, 8/23 9:00PM, 5/4 9:00PM, 4/30 7:30PM, 4/28 9:30PM, 6/16 9:30PM, 8/25 7:30PM, 5/20 9:30PM, 5/26 7:30PM, 5/25 9:00PM, 6/17 7:30PM, 6/18 9:30PM, 5/26 9:30PM, 5/21 9:30PM, 5/21 7:30PM, 12/24 9:30PM, 7/8 7:30PM, 12/30 11:30PM, 12/29 7:30PM, 8/20 9:30PM, 12/27 9:00PM, 8/20 11:30PM, 10/1 9:30PM, 9/3 9:30PM, 9/8 7:30PM, 9/2 7:30PM, 8/30 9:00PM, 8/26 7:30PM, 8/26 11:30PM, 8/26 9:30PM, 10/14 7:30PM, 12/8 7:30PM, 12/6 9:00PM, 10/15 9:30PM, 10/11 9:00PM, 10/7 11:30PM, 10/6 7:30PM, 12/9 7:30PM, 12/15 7:30PM, 12/23 7:30PM, 12/24 11:30PM, 12/9 11:30PM, 12/16 11:30PM, 12/10 9:30PM, 12/13 9:00PM, 7/9 9:30PM, 7/29 7:30PM, 7/29 11:30PM, 7/28 7:30PM, 7/26 9:00PM, 7/22 7:30PM, 7/19 9:00PM, 7/14 7:30PM, 7/15 11:30PM, 5/18 9:00PM, 8/2 9:00PM, 8/5 7:30PM, 8/16 9:00PM, 8/5 11:30PM, 8/13 9:30PM, 8/13 11:30PM, 8/6 9:30PM, 7/30 9:30PM",http://calendar.orlandoweekly.com/Events/e11225/The_Skill_Crane_Kid
123 Douglas St.,free,Abstract paintings by Audrey Phillips,Arts on Douglas,(386) 428-1133,http://www.artsondouglas.net,Finding the Light,"4/30 11:00AM, 4/26 10:00AM, 4/27 10:00AM, 4/28 10:00AM, 4/29 10:00AM",http://calendar.orlandoweekly.com/Events/e11664/Finding_the_Light
29 S. Orange Ave.,free,Wine-inspired art by Parker Sketch,Lee James Gallery,(407) 843-9664,http://www.leejamesfloral.com,Meritage,"5/7 11:00AM, 4/26 11:00AM, 4/27 11:00AM, 4/28 11:00AM, 4/29 11:00AM, 4/30 11:00AM, 5/3 11:00AM, 5/4 11:00AM, 5/5 11:00AM, 5/6 11:00AM, 5/10 11:00AM, 5/11 11:00AM, 5/12 11:00AM, 5/13 11:00AM, 5/14 11:00AM",http://calendar.orlandoweekly.com/Events/e12236/Meritage
25 W. Crystal Lake St.,free,Ernie Turner hosts a gathering for local creatives,OLV Cafe,(407) 722-5060,http://olvcafe.com,Art Night,"6/8 6:30PM, 6/22 6:30PM, 5/25 6:30PM, 5/18 6:30PM, 5/11 6:30PM, 4/27 6:30PM, 5/4 6:30PM, 6/1 6:30PM, 6/15 6:30PM, 6/29 6:30PM",http://calendar.orlandoweekly.com/Events/e12230/Art_Night
5700 Trinity Prep Lane,various prices,"Local artists showcase pottery, paintings, jewelry and more",Trinity Preparatory School,(407) 671-4140,http://www.trinityprep.org,Trinity Spring Art Sale,4/27 8:00AM,http://calendar.orlandoweekly.com/Events/e12446/Trinity_Spring_Art_Sale
39 S. Magnolia Ave.,free,Process Art by Johann Eyfells and 1980s Graffiti Art by Robin Van Arsdol,The Gallery at Avalon Island,(407) 312-0708,http://www.galleryatavalonisland.com,Process Art by Johann Eyfells and 1980s Graffiti Art by Robin Van Arsdol,"4/29 12:00PM, 5/7 12:00PM, 5/5 12:00PM, 4/30 12:00PM, 4/28 12:00PM, 5/6 12:00PM, 5/12 12:00PM",http://calendar.orlandoweekly.com/Events/e12258/Process_Art_by_Johann_Eyfells_and_1980s_Graffiti_Art_by_Robin_Van_Arsdol
900 Douglas Ave. #1123,free,"Works by Irene Ives-Newton and Leighton DaCosta, with music, wine and light bites",The White Wall Gallery,(407) 682-5343,http://www.thewhitewall.com,Grand Opening Celebration,4/28 6:00PM,http://calendar.orlandoweekly.com/Events/e12486/Grand_Opening_Celebration
900 S. Orlando Ave.,,Group show features the art of Jorge Duque and others; exhibit through May 27,Gallery 17-92,(407) 647-1792,,The Language of Color: A Latin American View Opening Reception,4/29 6:00PM,http://calendar.orlandoweekly.com/Events/e12420/The_Language_of_Color_A_Latin_American_View_Opening_Reception
