venue,to,description,city,address,zipcode,image,state,email,longitude,title,moreInfoLink,tickets,times,latitude,from
"Iris and B. Gerald Cantor Art Gallery, College of the Holy Cross",04/01/2011,Pilgrimage and Faith focuses on fundamental issues of the three religions and the many ways of convergence of practices in the pilgrimage experience. The exhibition will house 75 historical objects from the 12th century to the present.</p>			</p>    			<br><br>,<br /> 						Worcester,1 College Street,01610,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/54657/tile_newark__artsboston_medium.jpg,MA,,-71.807971,"Pilgrimage and Faith: Buddhism, Christianity and Islam",http://www.artsboston.org/event/detail/54657/Pilgrimage_and_Faith_Buddhism_Christianity_and_Islam,"No cost, open to the public","M-F 10 am - 5 pm, Sat 2 - 5 pm",42.239384,01/25/2010
Bromfield Gallery,05/01/2011,"APRIL March 31 &ndash; May 1 Gallery I. Sarah Dobkin: &ldquo;Everyday Miracles.&rdquo; Dobkin&rsquo;s paintings center on the significance of the mundane.  Drawing attention to the simple poetry of a moment, even something as prosaic as raindrops in a puddle, can be unexpectedly alluring.   Gallery II: Lori Schouela: &ldquo;Tracing Absence.&rdquo; In these paintings, Schouela deconstructs the rose, exploring what lies beyond the physically seen. The liquid medium finds its place in the chaos of its merging parts, and the invisible becomes exposed.  Opening Reception: Friday, April 2, 6 &ndash; 8:30 pm.</p>			</p>    			<br><br>",<br /> 						Boston,450 Harrison Avenue,02118,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/57302/dobkinstream_medium.jpg,MA,,-71.0646,"""Everyday Miracles"" and ""Tracing Absence""",http://www.artsboston.org/event/detail/57302/Everyday_Miracles_and_Tracing_Absence,Free,12-6 pm,42.3426,03/31/2010
Melle Finelli Studio,05/02/2011,"An art exhibition of Adie Russells remarkable new mixed media work. Reinterpreting, repurposing and inserting herself into a dialog with the past.</p>			</p>    			<br><br>",Level)<br /> 						Boston,65 Thayer St. (450 Harrison Ave Garden,02118,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440695155/suspension_bridge_medium.jpg,MA,,-71.0639631,Correspondences; new work by Adie Russell,http://www.artsboston.org/event/detail/440695155/Correspondences_new_work_by_Adie_Russell,Tickets are not required.,12 Pm - 5Pm,42.3420353,04/02/2010
Peabody Essex Museum,06/01/2011,"Eye Spy features engaging works by leading contemporary artists exploring visual perception. Through the manipulation of light, form, color and line, these artworks show viewers how what we think we should see may differ greatly from what we actually see. On view in PEM's interactive Art &amp; Nature Center, Eye Spy encourages visitors to examine how habits of vision and optical illusions influence the way we interpret the world.</p>			</p>    			<br><br>",<br /> 						Salem,161 Essex Street/East India Square,,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440798009/04_after-renoir_medium.jpg,MA,,-70.8931,"Eye Spy, Playing with Perception",http://www.artsboston.org/event/detail/440798009/Eye_Spy_Playing_with_Perception,,,42.522,06/19/2010
Harvard Museum of Natural History,06/30/2012,"Don&rsquo;t miss the world famous exhibit of 3,000 &lsquo;Glass Flowers&rsquo;, amazingly realistic models of plants, fruits and flowers created by father-son glass artists Leopold and Rudolph Blaschka from 1886-1936. Explore 12,000 specimens drawn from Harvard&rsquo;s vast research collections at the University's most visited museum -- dinosaurs, meteorites, gemstones, and hundreds of prehistoric and current-day animals from around the globe.  Get close to the world&rsquo;s only mounted Kronosaurus, a 42 ft-long marine reptile; one of the first Triceratops ever discovered; a 1,642 lb. amethyst geode; 3 whale skeletons.  The museum is on the Harvard University campus, just a short, 7-10 minute walk through historic Harvard Yard from the Harvard Square MBTA Red Line &lsquo;T&rsquo; station, or a 15 minute walk from Porter Square commuter rail. Open daily, 9 am &ndash; 5 pm, 361 days/year. Handicapped accessible.  Explore www.hmnh.harvard.edu for changing exhibitions, dozens of lectures, events, classes for all ages, year-round.</p>			</p>    			<br><br>",<br /> 						Cambridge,26 Oxford Street,02138,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440812141/hmnhkronosaurusminglow_res_medium.jpg,MA,hmnh@oeb.harvard.edu,-71.115725,Free Sunday Mornings at Harvard Museum of Natural History,http://www.artsboston.org/event/detail/440812141/Free_Sunday_Mornings_at_Harvard_Museum_of_Natural_History,Regularly $9 adults; $7 seniors and students; $6 age 3-18,9 AM - noon,42.378432,06/27/2010
,07/30/2012,"The Museum has acquired ten exceptional Russian icons from prominent private collectors in Germany and Holland.  Dr. Marc Loerke - a prestigious icon dealer in Germany representing the Museum - identified and negotiated with 2 important European collectors to facilitate this stunning acquisition of ten significant Russian icons. Their subject and content are new to the Museum and round out the collection.  The exhibition includes a significant, late 15th century icon from northern Russia titled, Three Hierarchs: Saint Basil the Great, Saint Gregory and Saint John Chrysostomos, represents the three Patriarchs of the Orthodox Church. Icons from the 1400s are extremely rare and prized. Three Hierarchs is in excellent condition, depicts pivotal subject matter and is a highlight of the new exhibition.</p>			</p>    			<br><br>",,,,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/440705437/3_hierachs_c1480-1510sm_medium.jpg,,info@museumofrussianicons.org,,Grand Discovery:  Icons Acquired from Private European Collections,http://www.artsboston.org/event/detail/440705437/Grand_Discovery_Icons_Acquired_from_Private_European_Collections,Adults $5 Seniors (59 and over) Voluntary Donation Students and Children (16 and under) Free School groups $4 per student Tour and Civic groups $4 per person  Admission is free to NEMA members and ONE guest.,"Tuesday - Friday, 11 AM - 3 PM Saturday, 9 AM - 3 PM Docent tours available during museum hours. Museum open Thurs. evenings until 7 PM.",,05/01/2010
Bostix Booth - Faneuil Hall,11/26/2014,"Learn the tales of scallawag pirates who plied their trade in Boston harbor, the privateers who sympathized with the Colonists against the  mighty British Navy, and the patriots who encouraged them to help overthrow British rule in 18th century Boston.  You'll be surprised to learn who was involved in promoting  &quot;terrorist acts&quot; against Great Britain as the American Revolution played out on Boston waters. Tall Ships are in Boston this summer, so take in the juicy history of Boston's harbor on this 90 minute walking tour with an 18th century costumed Freedom Trail Foundation guide.  It's American history, but not the same old story.</p> <p>Tour departs from Bostix Booth at Faneuil Hall.</p>			</p>    			<br><br>",<br /> 						Boston,Faneuil Hall,,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/org/7329/granary_jonf-girl4_medium.jpg,MA,info@TheFreedomTrail.org,-71.0562,"Pirates, Privateers & Patriots Tour - Freedom Trail",http://www.artsboston.org/event/detail/41285/Pirates_Privateers_Patriots_Tour_Freedom_Trail,$12 adults / $10 seniors and student/ $6 children,1:30 p.m. daily,42.36,04/01/2010
Harvard Art Museum/ Arthur M. Sackler Museum,01/01/2037,"Works from the Harvard Art Museum's three museums &mdash; the Fogg Museum, Busch-Reisinger Museum, and Arthur M. Sackler Museum &mdash; are shown together for the first time in this exhibition. The Harvard Art Museum holds one of the country's preeminent art collections and Re-View reflects the diversity and richness of these holdings, including major and familiar works integral to the museum's core mission of teaching and research. The survey of approximately 600 objects features Western art from antiquity to the turn of the 20th century, Islamic and Asian art, and European and American art from 1900 to the present. With a varied sequence of groupings &mdash; some traditional and some surprising &mdash; the exhibition offers new ways of looking at the collections, which have historically been exhibited in separate facilities. <br> <br> The exhibition Re-View is on long-term view at the Arthur M. Sackler Museum and provides a selected, ongoing display of the collections while the Art Museum's building at 32 Quincy Street &mdash; the former home of the Fogg and Busch-Reisinger museums &mdash; is closed for renovation. This major renovation and expansion project designed by architect Renzo Piano is scheduled to be completed in 2013 and will unite the three museums in one facility. <br> <br> Re-View has been made possible by a generous grant from the NBT Charitable Trust, as well as the Art Museum's Alexander S., Robert L., and Bruce A. Beal Exhibition Fund; Anthony and Celeste Meier Exhibitions Fund; and Charlotte and Irving Rabb Exhibition Fund.</p>			</p>    			<br><br>",<br /> 						Cambridge,485 Broadway,02138,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/45909/picasso-motherandchildweb_medium.jpg,MA,,-71.1141212,Re-View,http://www.artsboston.org/event/detail/45909/ReView,"General admission: $9 Senior citizens over 65: $7 College students with valid ID: $6 Harvard students and affiliates: Free Members: Free Cambridge Public Library card holders: Free Saturday 10am to noon; every day after 4:30pm: Free Under 18 years of age: Free Paid admission includes entrance to the Arthur M. Sackler Museum, public tours, and gallery talks.",,42.3746611,09/13/2008
MIT Museum,01/01/2037,"Permanent installation of Ganson's whimsical kinetic sculptures address emotional and philosophical issues between the animate and inanimate, human and machine</p>			</p>    			<br><br>",<br /> 						Cambridge,265 Mass Ave,,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/placeholder.jpg,MA,,-71.0859647,Gestural Engineering: The Sculpture of Arthur Ganson,http://www.artsboston.org/event/detail/44953/Gestural_Engineering_The_Sculpture_of_Arthur_Ganson,"$7.50 for adults, $3 for non-MIT students, seniors, and children 5-18, and free with an MIT ID and for children under 5. Also free on Sundays from 10am-12noon",10am-5pm,42.3436187,06/01/2009
MIT Museum Hart Nautical Gallery,01/01/2037,Long-term exhibition exploring the latest advances in underwater research.</p>			</p>    			<br><br>,<br /> 						Cambridge,55 Mass Ave,,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/placeholder.jpg,MA,,-71.093737,Deep Frontiers: Ocean Engineering at MIT,http://www.artsboston.org/event/detail/44955/Deep_Frontiers_Ocean_Engineering_at_MIT,,9am-8pm,42.3592664,06/01/2009
MIT Museum Building N51,01/01/2037,"Forty of the Museum's finest full-hull ship models depict one thousand years of ship building, from a fifteenth century iron-clad warship to the swiftest clipper ships. Also included is an extraordinary model of N.G. Herreshoff's Reliance &ndash; winner of the 1903 America's Cup.</p>			</p>    			<br><br>",<br /> 						Cambridge,265 Massachusetts Avenue,,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/placeholder.jpg,MA,,-71.0859647,Ship Models: The Evolution of Ship Design,http://www.artsboston.org/event/detail/44957/Ship_Models_The_Evolution_of_Ship_Design,,9am-8pm,42.3436187,06/01/2009
MIT Museum,01/01/2037,"An exploration, from the student perspective, of the cultural curiosity that is an MIT education.</p>			</p>    			<br><br>",N51<br /> 						Cambridge,265 Massachusetts Ave. Building,,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/placeholder.jpg,MA,,-71.0859647,Mind and Hand: The Making of MIT Scientists and Engineers,http://www.artsboston.org/event/detail/44947/Mind_and_Hand_The_Making_of_MIT_Scientists_and_Engineers,"$7.50 for adults, $3 for non-MIT students, seniors, and children 5-18, and free with an MIT ID and for children under 5. Also free on Sundays from 10am-12noon",10am-5pm,42.3436187,06/01/2009
MIT Museum Building N51,01/01/2037,"A multimedia excursion into the world of artificial intelligence, Robots and Beyond throws open the doors of MIT's Artificial Intelligence Laboratory, where scientists have been probing the mysteries of A.I. for five decades.</p>			</p>    			<br><br>",<br /> 						Cambridge,265 Massachusetts Avenue,,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/placeholder.jpg,MA,,-71.0859647,Robots and Beyond: Exploring Artificial Intelligence at MIT,http://www.artsboston.org/event/detail/44949/Robots_and_Beyond_Exploring_Artificial_Intelligence_at_MIT,"$7.50 for adults, $3 for non-MIT students, seniors, and children 5-18, and free with an MIT ID and for children under 5. Also free on Sundays from 10am-12noon",10am-5pm,42.3436187,06/01/2009
MIT Museum,01/01/2037,Holograms from the Museum's collection -- the world's largest -- illustrates the many artistic and scientific facets of the medium.</p>			</p>    			<br><br>,<br /> 						Cambridge,265 Mass Ave,,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/placeholder.jpg,MA,,-71.0859647,Holography: The Light Fantastic,http://www.artsboston.org/event/detail/44951/Holography_The_Light_Fantastic,"$7.50 for adults, $3 for non-MIT students, seniors, and children 5-18, and free with an MIT ID and for children under 5. Also free on Sundays from 10am-12noon",10am-5pm,42.3436187,06/01/2009
Peabody Museum of Archaeology & Ethnology,01/01/2037,"Wiyohpiyata: Lakota Images of the Contested West explores the meanings of a recently discovered nineteenth-century &quot;artist's book,&quot; in the collection of Houghton Library, that had been recovered from the Little Big Horn battlefield after Custer's defeat in 1876. The exhibit presents colored drawings by Plains Indian warriors from the book with historic Lakota objects from the Peabody's collections.</p>			</p>    			<br><br>",<br /> 						Cambridge,11 Divinity Ave.,02138,http://www.artsboston.orghttp://www.artsboston.org/sites/artsboston.org/images/event/44073/72_for_press_lo_res_medium.jpg,MA,,-71.1141237,Exhibition: Wiyohpiyata: Lakota Images of the Contested West,http://www.artsboston.org/event/detail/44073/Exhibition_Wiyohpiyata_Lakota_Images_of_the_Contested_West,"$9/adults; $7/senior citizens and students; $6/children ages 3-18; free for children under 3.   Free admission (for MA residents only) on Sun. mornings 9 -noon, except for groups, and free admission on Wed. afternoons, Sept. - May, 3-5 PM.",9-5,42.3774687,05/12/2009
