fullAddress,venue,description,email,image,ticketPhone,title,website,dates,moreInfoLink
"305 Harrison Street, Seattle, WA, 98109",Seattle Center House,"Pride and Prejudice, Persuasion, Emma, and now Sense and Sensibility. Book-It’s fourth Jane Austen adaptation brings audiences back to the sweeping work that began her career. In Austen’s first published novel, the Dashwood sisters find that love is an unpredictable struggle against the most important social values: family, honor, and wealth.  As teens, Elinor and Marianne's family fortunes take a turn when they lose their father, and their welcome in his home, now owned by their half-brother and his overbearing wife. With a move and a few chance meetings, Elinor falls for the intelligent and reserved Edward Ferrars, while Marianne dotes upon the handsome John Willoughby. Through Elinor’s sense and Marianne’s sensibility, this sprightly tale winds along the twisting path of love among the English gentry.<br> <br> 			</p>    			<br><br>",,http://www.seattleperforms.com/sites/seattleperforms.com/images/org/21/bookitrepertorytheatre_medium.jpg,206.216.0833,Sense and Sensibility,http://www.book-it.org,05/25/2011-06/26/2011,http://www.seattleperforms.com/event/detail/5600/Sense_and_Sensibility
"303 Front Street North, Issaquah, WA, 98027",Village Theatre,"Jesus Christ Superstar <br>Music by Andrew Lloyd Webber <br>Lyrics by Tim Rice <br> <br>Exploding onto the Mainstage is the groundbreaking theatrical masterpiece Jesus Christ Superstar by legendary writing team Andrew Lloyd Webber and Tim Rice. This extraordinary rock opera highlights the struggles of Jesus of Nazareth and Judas Iscariot during the last week of Jesus's life. With a vibrant score of chart-topping hits like ""Superstar"" and ""I Don't Know How to Love Him,"" Superstar is timeless and tremendously powerful.  <br>			</p>    			<br><br>",boxoffice@villagetheatre.org,,425-392-2202,Jesus Christ Superstar,,05/12/2011-07/03/2011,http://www.seattleperforms.com/event/detail/5387/Jesus_Christ_Superstar
"9673 Firdale Ave., Edmonds, WA, 98020",Phoenix Theatre,"Charlie returns to his childhood home after his Da's funeral only to find that his father's ghost is stubbornly unwilling to leave the house. As the events of Charlie's youth are replayed we discover the comic, bittersweet relationship that existed between father and son. <br> <br>			</p>    			<br><br>",phoenixtheatreinfo@gmail.com,http://www.seattleperforms.com/sites/seattleperforms.com/images/org/554/phoenixtheatre_medium.jpg,206-533-2000,Da by Hugh Leonard,http://www.brownpapertickets.com/event/108926,04/01/2011-04/24/2011,http://www.seattleperforms.com/event/detail/5497/Da_by_Hugh_Leonard
"4th Ave. S.W. and S.W. 146th Street, Burien, WA, 98166",Burien Community Center,BRAND-NEW WORKS.  Expect the unexpected and the very best from Washington State playwrights imaginations.  All world premieres.			</p>    			<br><br>,tickets@burienlittletheatre.org,,206-242-5180,The Bill and Peggy Hunt Playwrights Festival,http://www.burienlittletheatre.org,04/08/2011-05/01/2011,http://www.seattleperforms.com/event/detail/5582/The_Bill_and_Peggy_Hunt_Playwrights_Festival
,,"&quot;Sneak Peak&quot; tour of the Oregon Shakespeare Festival in Ashland, OR, May 31-June 2, 2011.  Includes round trip air fare from Seattle, WA, transport to hotel with two nights accommodations at the Plaza Inn and Suites at Ashland Springs, tickets to 3 shows, a backstage tour, play prologue, and discussion with cast member.  Also includes two lunches and two dinners.  Reasonably priced at $865 per person.  Discounted rates available for students and seniors.<br> <br> Please contact David Bestock for more details or to register.<br> (206) 273-7548<br> david@earsinc.com</p>			</p>    			<br><br>",david@earsinc.com,http://www.seattleperforms.com/sites/seattleperforms.com/images/org/220154225/logo-high-res_medium.jpg,(206) 273-7548,Ashland Oregon Shakespeare Festival Tour!,,05/31/2011-06/02/2011,http://www.seattleperforms.com/event/detail/441091413/Ashland_Oregon_Shakespeare_Festival_Tour
"Seattle Center House, 305 Harrison St., 4th Floor, Seattle, WA, 98109",Theatre4,"The third show of Emerald City Scene&rsquo;s season is The Woodsman by Steven Fechter. Directed by Danielle Franich (Sister Cities, Desdemona), this is the troubled story of a convicted child molester, Walter (Martyn Krouse) and his struggle after his release from prison.  Walter is a quiet man hoping to escape his past. The story focuses on Walter's interactions and explores the complexities of starting over.  His parole requires he meet with a therapist, Dr. Ira Rosen (Jim Rogers), who hopes to help Walter adjust.  His only link to his family, and his past, is his brother-in-law, Carlos (Nathan Fisher), though he finds he can open up when he meets co-worker, Nikki (Jenna Schmidt) and begins a relationship with her. But, interactions with a no-nonsense officer, Sergeant Lucas (Tom Fraser), continue to provoke and impact Walter&rsquo;s progress. Temptation and a return to the familiar are accessible in the form of Robin (Stephanie McAlexander), a young birdwatcher in the park. Ultimately, it is Walter&rsquo;s choice to move forward or back and to decide what he will make of his life.</p>			</p>    			<br><br>",emeraldcityscene@gmail.com,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441145511/the_woodsman_final_no_border_medium.jpg,1-800-838-3006,The Woodsman,http://www.emeraldcityscene.org,03/04/2011-03/19/2011,http://www.seattleperforms.com/event/detail/441145511/The_Woodsman
"200 Madison Ave N, Bainbridge Island, WA, 98110",Bainbridge Performing Arts,"Join us for the beloved adventures of Peter Rabbit and all his friends &mdash; Benjamin Bunny, Jeremy Fisher the frog, Hunca Munca and Tom Thumb, the Two Bad Mice, Jemima Puddle-Duck, Miss Moppet the cat, and many others. Join KiDiMu in the BPA Lobby for puppet making from 11:45 a.m. to 1:00 p.m. on Friday, March 19. (School Matinee Performances are Friday, March 18 @ 9:30 a.m. &amp; 12:30 p.m. and corresponding tickets are $8 per person - call 206.842.1163 for bookings.)</p>			</p>    			<br><br>",boxoffice@bainbridgeperformingarts.org,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441146525/web_sidebar_ad_peter_rabbit_medium.jpg,206-842-8569,The Adventures of Peter Rabbit ~ A Theatrical Puppet Production,http://www.bainbridgeperformingarts.org/Performances/Theatre/PeterRabbit.html,03/19/2011,http://www.seattleperforms.com/event/detail/441146525/The_Adventures_of_Peter_Rabbit_A_Theatrical_Puppet_Production
"1412 18th Ave, Seattle, WA, 98122",Gallery 1412,"\\\ Underkulture Theatre Project + Irrational Robot Bureau \\\<br> <br> ---present---<br> <br> ---REMIX.NITE---<br> &gt;&gt;&gt;W..H..A..T..&gt;&gt;&gt;<br> REMIX.NITE is a series of performance events that will, on each occasion, offer a text selection and several actors arranged into a //scene// [=original mix] and present several //versions// [=REMIXes] during the course of an evening.  the versions will be REMIXed by a variety of local theatre/performance artists in a creative manner of their own designing.<br> <br> <br> &gt;&gt;&gt;W..H..Y..&gt;&gt;&gt;<br> why do we present plays that we have already encountered?  why do //hamlet// or //antigone// or //the iceman cometh// again and again and over again?  we do it because while a text may never change, our interpretations do.  //drama// only becomes //theatre// when aspirated by the breath of the living being in the now.  our times + interpretations + sensibilities are constantly in the flux of revision and past performances mark significant nodes along our chaotic trajectories.  any production of a play that has been performed at least once before is already a kind of REMIX.  but it presumes one interpretive dimension only.  we aim to acquaint an audience with a performed scene not unlike the way the //cubists// revealed a human face to their patrons: all sides at once.<br> <br> <br> &gt;&gt;&gt;W..H..O..&gt;&gt;&gt;<br> for each edition we will seek out actors + artists who will fuse their own creative approaches to the source material that has been selected.  the audience will have the opportunity to view these artists&rsquo; distinct approaches all in a sitting.<br> <br> &gt;&gt;&gt;VOLUME..01..&gt;&gt;&gt;<br> the first edition of the REMIX project will be presented:<br> <br> on<br> <br> friday, march 18 /// 8:00 PM PST<br> friday, march 25 /// 8:00 PM PST<br> <br> at<br> <br> GALLERY 1412<br> 1412 18TH AVENUE<br> SEATTLE,  WA 98122<br> <br> gallery1412.org<br> <br> suggested donation:  $5.00 - $15.00<br> <br> the text will consist of celebrity interview excerpts.<br> <br> for more information, please contact:<br> <br> mitch kafka // underkulture theatre project<br> underkulturetheatre@gmail.com<br> <br> adrian d. cameron // irrational robot bureau<br> irrationalrobotbureau@gmail.com</p>			</p>    			<br><br>",underkulturetheatre@gmail.com,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441172191/remix.nite_logo_1_medium.jpg,917-406-1255,REMIX.NITE>>>VOL.01,,03/18/2011-03/25/2011,http://www.seattleperforms.com/event/detail/441172191/REMIXNITEVOL01
"127B SW 153rd St., Seattle, WA, 98166",E.B. Foote Winery,New comedy/drama with music about immigrants in North Dakota/Montana from WWI to the Great Depression.  Sequel to Prairie Heart.</p>			</p>    			<br><br>,breederstheater.@aol.com,http://www.seattleperforms.com/sites/seattleperforms.com/images/org/22/breederstheater_medium.gif,206-242-3852,West,http://www.breederstheater.com,03/11/2011-03/26/2011,http://www.seattleperforms.com/event/detail/441145743/West
"12401 SE 320th Street, Auburn, WA, 98092",Heavier Than Air Family Theatre,"The Adventures of Tom Sawyer, the musical is based on the novel by Mark Twain.</p>			</p>    			<br><br>",,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441152053/tom_sawyer_color_logo_medium.jpg,253 933 9111 x 2400,The Adventures of Tom Sawyer,http://www.heavierthanair.com,03/18/2011-03/26/2011,http://www.seattleperforms.com/event/detail/441152053/The_Adventures_of_Tom_Sawyer
"1214 10th Ave., Seattle, WA, 98102",Odd Duck Studio,"Brechtian in nature, The Firebugs is about Gottlieb Biedermann, a cautious businessman who refuses to believe that the two men who have entered his home uninvited are the arsonists who have already burned down much of the town. He and his anxiety-ridden wife (concerned only with saving themselves and their home) lodge the arsonists, feed them a sumptuous dinner, and provide them with all the matches they can possibly use - all of which serves only to postpone the inevitable destruction of their home and their lives.</p>			</p>    			<br><br>",info@seattlestageright.org,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441153191/the_firebugs_medium.jpg,205-335-8669,THE FIREBUGS by Max Frisch,http://seattlestageright.org/plays/firebugs.html,03/10/2011-03/26/2011,http://www.seattleperforms.com/event/detail/441153191/THE_FIREBUGS_by_Max_Frisch
"402 Sixth St. S, Kirkland, WA, 98033",Studio East Mainstage Theater,Singin' in the Rain</p>			</p>    			<br><br>,info@studio-east.org,http://www.seattleperforms.com/sites/seattleperforms.com/images/org/360/storybooktheaterstudioeast_medium.jpg,425-820-1800,Singin' in the Rain,http://www.studio-east.org/,03/11/2011-03/27/2011,http://www.seattleperforms.com/event/detail/5694/Singin_in_the_Rain
"2220 NW Market, Seattle, WA, 98107",The Ballard Underground,"The Skriker, a dark, shape-shifting fairy, is drawn to desperation. After attaching herself to two teenage girls, the Skriker wreaks havoc with their lives, haphazardly granting minor wishes, using dark magic to make flowers rain from the sky and turn words into frogs, and ultimately dragging both girls into a rotting underworld filled with a macabre ensemble of broken fairies. Helpless against her power, the girls become increasingly desperate to save themselves and each other. In one of her most astonishing works, Caryl Churchill seamlessly weaves themes of environmentalism and feminism into a world bursting with creatures from British folklore that are known for drowning and eating children.<br> <br> THE SKRIKER features the work of: Dayo Anderson, Rob Bergquist, Kasey Brockwell, Valerie Brunetto, Rosie Currier, Jen Dotsey, Linnea Emigh, Danny Fisher-Bruns, Brenan Grant, Eric Grenfell-Phillips, Chelsie Hanner, Zack Hewell, Bethany Hightower, Molly Mahar Lyman, Courtney Meaker, Daniela Melgar, Wilder Nutting-Heath, Beth Raas-Bergquist, Phoebe Richards, Travis Roderick, Jen Ross, Patrick Savedra, Jessica Stepka, Julia Welch.<br> <br> Ghost Light Theatricals&rsquo; &ldquo;Ch-Ch-Changes&rdquo; season rolls into March with Caryl Churchill&rsquo;s THE SKRIKER and finishes up in April with a new adaptation of THE CLOUDS by Aristophanes. <br> <br> Ghost Light Theatricals mission is to create bold, imaginative stories inspired by classic texts that resonate with a modern world. Visit our website at www.GhostLightTheatricals.org for more information and publicity photos.</p>			</p>    			<br><br>",info@ghostlighttheatricals.org,http://www.seattleperforms.com/sites/seattleperforms.com/images/org/56/ghostlighttheatricals_medium.jpg,2063955458,The Skriker,http://ghostlighttheatricals.org/the-skriker/,03/11/2011-03/27/2011,http://www.seattleperforms.com/event/detail/441144539/The_Skriker
"8th Avenue and Seneca Street, Seattle, WA",Town Hall Seattle,"Think of it as NPR&rsquo;s Selected Shorts, Seattle style: ACT Artistic Director Kurt Beattie selects compelling short stories based on a common theme; then local actors bring the stories to life during readings at Town Hall. Next up at Short Stories Live:<br> <br> <br> <br> <br> <br> <br> <br> Across The Continent<br> <br> <br> <br> Sunday, March 27 at 4 pm<br> <br> <br> <br> <br> <br> <br> <br> It was a time (between the Franco-Prussian War and World War I) and a place (Europe) of enormous change-in history, in literature, and maybe in the European soul itself. In this program, professional actors read from some of the era's signature short stories, including the great Guy de Maupassant's &quot;Toine&quot; and &quot;Rosalie Prudent&quot;; Anton Chekhov's &quot;Romance with Double Bass&quot; and &quot;Vanka&quot;; and Isak Dinesin's &quot;The Heroine.&quot;</p>			</p>    			<br><br>",,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441166009/short_stories_show_thumbnails_medium.png,2062927676,Short Stories Live at Town Hall: Across the Continent,http://j.mp/9LVHT3,03/27/2011,http://www.seattleperforms.com/event/detail/441166009/Short_Stories_Live_at_Town_Hall_Across_the_Continent
"1932 2nd Ave. (2nd Ave. & Virginia St.), Seattle, WA, 98107",Moore Theatre,"&ldquo;LA BOH&Eacute;ME&rdquo; AT THE MOORE!<br> <br> March 1, Seattle, WA &ndash; Seattle Theatre Group presents a Lyric Opera Northwest production of Puccini&rsquo;s immortal opera La Boh&eacute;me at Seattle&rsquo;s historic Moore Theatre, 2nd and Virginia in downtown Seattle on Sunday, March 27, 2011 at 4:00 p.m.<br> <br> This poignant, thrilling opera has music so powerful it makes the whole family cry for joy and tragedy.  Fully costumed, accompanied by a full orchestra conducted by Brian Davenport of the Federal Way Symphony, featuring over 30 of the greater Seattle area&rsquo;s most talented children, including a full chorus and professional, choice soloists.<br> <br> Seattle favorite tenor Gino Lucchetti leads the cast as Rodolfo, and his beloved Mimi is Lyric Opera Northwest favorite Dohee Kim. Metropolitan Opera chorus veteran Carissa Castaldo brings incredible life to the role of Musetta, while Jason Fowler (Sykes in LONW&rsquo;s production of Oliver! last October) sings Marcello. Superb tenor and character actor Andrew Mayzak plays both Benoit and Alcindoro, while baritone Ryan Bede enlivens the action as Schaunard. NYCO and Broadway veteran Craig H. Nim sings Colline, and Parpignol&rsquo;s clownish antics are brought to life via the extraordinary talent of the Pacific Northwest&rsquo;s own Kim Cooney.<br> <br> La Boh&eacute;me was written by the beloved Italian composer Giacomo Puccini, with libretto by Giuseppe Giacosa and Luigi Illica, and has been the choice vehicle for scores of young singers desiring to strike their vocal impressions upon discerning audiences. The audience can look forward to  a very high standard of singing in this full-throated production.<br> <br> Tickets are available through STG at www.stgpresents.org. Or, charge by phone at 1-877-784-4849. Tickets can also be purchased on the day of the show at the Moore Theatre.<br> <br> To learn more about the mission of Lyric Opera Northwest, visit online: www.lonw.org.</p>			</p>    			<br><br>",,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441165241/labohemeimage250x250_medium.jpg,1-877-784-4849,La Bohème,http://stgpresents.org/artists/?artist=1531,03/27/2011,http://www.seattleperforms.com/event/detail/441165241/La_Bohme
"700 Union St, Seattle, WA, 98101",ACT Theatre,"Here&rsquo;s your chance to get in on the ground floor of the filmmaking process and shape a new work. TheFilmSchool presents another year of their popular series, featuring staged screenplay readings from outstanding alumni-written scripts, directed and read by Seattle&rsquo;s top professional directors and actors. Each evening's reading is followed by a Q&amp;A session with the screenwriter, director, actors, and cast. Readings are an important step that not only showcase the extraordinary work of alumni, but also help in developing, refining, and improving their screenplays, all with your input.</p>			</p>    			<br><br>",jenni@thefilmschool.com,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441166033/p1010069_medium.jpg,206 292 7676,Caught in the ACT,http://j.mp/b8yUGG,03/28/2011,http://www.seattleperforms.com/event/detail/441166033/Caught_in_the_ACT
"4649 Sunnyside Ave. N, Seattle, WA 98103, Seattle, WA, 98103",Chapel Space at Good Shepherd Center,"Wallingford&rsquo;s Chapel Space at the Good Shepard Center transforms into a Salon, where intellectuals and artists of all ages meet to explore acoustical science and opera.<br> <br> Experience &ldquo;surround sound&rdquo; as world-class opera singers surround the audience to demonstrate how opera sound waves feel. Try out the Harmonic Scalpel, which runs on sound waves, during the interactive, hands-on demonstration.<br> <br> Critically acclaimed Dramatic Soprano, Jane Schvick, and tenor, Juan Carlos Flores, from New York City are flying in just for this event. Soprano, Jordan Corbin Wentworth takes her voice, and the audience, into the stratosphere. Adrian Oh, Korean baritone, and San Francisco mezzo, Jordan McClellan join select local singers in this all-star cast.<br> <br> Watershed Opera&rsquo;s unique form or exposition comes in the form of humor, ad-libs, skits and narration so that one feels gently placed into heart of each opera scene presented.<br> <br> On the bill for Opera and Science: powerful scenes from Tosca, La Boheme, Rigoletto and Rosenkavalier. Plus a new opera skit: Three Mozart Divas meet in a Parallel Universe for tea.<br> <br> Watershed Opera welcomes serious opera fans, as well as those completely new to opera. Opera scenes are presented with humor and elegance in a way that all are sure to enjoy. Take the &ldquo;I hate opera&rdquo; challenge, and see if our world-class opera singers can&rsquo;t change your mind with honest, passionate performances. <br> <br> People are encouraged to arrive right at 6:30 for the interactive demonstration of the Harmonic Scalpel. There will be one intermission, and cupcakes, coffee, beverages and snacks will be available.</p>			</p>    			<br><br>",info@watershedopera.com,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441151609/opera-science-front_medium.jpg,718-755-1770,Watershed Opera presents: Opera & Science,http://watershedopera.com,03/31/2011,http://www.seattleperforms.com/event/detail/441151609/Watershed_Opera_presents_Opera_Science
"4408 Delridge Way SW, Seattle, WA, 98106",Youngstown Cultural Arts Center,"America's premier comic playwright Neil Simon delights with a laugh out loud comedy of class and cover-ups in Twelfth Night Productions latest offering, Rumors. Four couples are invited to the townhouse of a deputy New York City mayor and his wife to attend a party celebrating their tenth wedding anniversary. The party never gets started as the guests soon discover that the staff and hostess are missing and the host has shot himself in the earlobe. Comic complications arise when his lawyer's cover-up of what may or may not have been a suicide attempt gets progressively more difficult to sustain as the other guests arrive and no one can remember who has been told what about whom.  In true farcical fashion, doors slam and hilarity abounds as the couples get increasingly crazed in an effort to conceal the evening's events from the local media and police.</p>			</p>    			<br><br>",Support@BrownPaperTickets.com,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441150427/rumorsposter_small_medium.jpg,1-800-838-3006,Rumors,http://www.twelfthnightproductions,03/25/2011-04/03/2011,http://www.seattleperforms.com/event/detail/441150427/Rumors
"4035 Stone Way N, Seattle, WA, 98103",Stone Soup Theater,"Stone Soup Theatre Youth Conservatory Presents<br> Homer&rsquo;s epic The Odyssey directed by Eve Hammond<br> <br> And you think YOU had a bad vacation last year? Odysseus doesn't even know what hit him when he travels home to his faithful wife Penelope. For years he battles giant cyclops, deadly winds in fearful oceans and even travels to the Land of the Dead, all in faithful devotion to his lovely bride. And not only that, but finally he returns home triumphant and finds a whole lot of ugly suitors vying for Penelope's hand. Not only has his vacation gone bad, they also think he's dead! <br> <br> Adapted by Kurt Beattie and Gregory Falls for Seattle Children's Theatre in the 90's, this play gives student actors the opportunity to become part of the adventure in the most exciting participatory way as they become the elements, monsters and heroes. In the most action-packed of all Greek myths, join Stone Soup for an interactive and musically engaging presentation of the classic tale of heroes, monsters and true love, The Odyssey &ndash; suitable for the whole family.<br> <br> Performance dates are Fri and Sat evenings at 7:30pm and Sundays at 2pm Mar 25 &ndash; Apr 3, with a $9 preview showing at 7:30pm Thurs Mar 24. <br> <br> General admission is $16, and groups of 4 or more people are $14 each.Tickets are available for purchase by phone at the Stone Soup Box Office at (206) 633-1883 or at www.brownpapertickets.com, 800-838-3006.</p>			</p>    			<br><br>",carolynne@stonesouptheatre.org,,206.633.1883,The Odyssey at Stone Soup Theatre's Youth Conservatory,http://www.stonesouptheatre.org,03/25/2011-04/03/2011,http://www.seattleperforms.com/event/detail/441164859/The_Odyssey_at_Stone_Soup_Theatres_Youth_Conservatory
"700 Union St, Seattle, WA, 98101",ACT Theatre,"Experience the Moisture Festival's Grande Variet&egrave; extravaganza from all angles and for all ages, &quot;in the round&quot; of the Allen Theatre, with captivating feats of skill and daring - be it aerial, acrobatic, clowning, rope tricks, sketch comedy, juggling, dancing, singing, magic, puppetry, or astonishing bubbles. A live show band provides the underlying pulse that propels the show to create a fantastic family entertainment experience.                  <br> <br> <br> <br> ALSO: For an intimate adult evening (18 years and over) the Moisture Festival presents its glorious Libertease Burlesque shows. Featuring a tantalizing mix of burlesque stars and ribald comedy/variet&egrave; acts, these shows seduce and delight. This unique brand of burlesque show is presented in a daring and beautiful new way.</p>			</p>    			<br><br>",,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441166007/mofest_variete_th_medium.jpg,2062927676,The Moisture Festival: Grande Varietè,http://j.mp/dK36t5,03/27/2011-04/03/2011,http://www.seattleperforms.com/event/detail/441166007/The_Moisture_Festival_Grande_Variet
"1500 Summit Ave, Seattle, WA, 98122",Theater Schmeater,"Late Night! 3 Shows Only! Cash Bar!<br> <br> <br> <br> Looking for something to do on a Friday night? Come see us do long form improv at Theater Schmeater!  We'll be performing fully improvised one-act plays based off of audience suggestions.        <br> <br> <br> <br> About us:<br> <br> Improvolution is an ensemble minded group of improvisers based in Seattle devoted to spontaneous, committed play. Our name stands for an &quot;improv revolution&quot; and that's what we are, A REVOLUTION! We have developed a new kind of improv that incorporates the fundamentals of improv theater as well as our BFA actor training. We utilize elements of the viewpoints, clown, physical theater, epic theater, and psychological drama. With the collaboration of acting, music, lighting, dance, and humor we create a fully realized piece of theater completely spontaneously. We've developed theatrically stimulating improv that is innovative and rebellious, dedicated and curious. Using audience suggestions we create spectacular and fantastical comedies of epic proportions completely on the spot. It has been said that art must re-invent itself with every new generation and we have worked to re-invent improv to capture the spirit of the next generation of theater goers. Our shows are fast paced, fun, and always created on the spot where the audience becomes an integral part of the production.</p>			</p>    			<br><br>",Improvolution@gmail.com,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441171737/improvolution_medium.jpg,(415) 320-7318,Improvolution - Late Night Improv!,http://www.ImprovolutionSeattle.com,03/25/2011-04/08/2011,http://www.seattleperforms.com/event/detail/441171737/Improvolution_Late_Night_Improv
"609 8th Ave, Seattle, WA, 98104",Trinity Parish Church,"This comprehensive class is for ages 8-13 and for anyone who has ever wanted to be in a musical. Become a triple threat; learn how to tell a story through the basic elements of acting, music and dance. Having fun and enjoying yourself is definitely a requirement for this class. Ends with a showcase! <br> For more information or to register call Michael at 206-790-8583 or email michael@theatre912.com.  You will get confirmation via phone and email.<br> Location is Downtown Seattle</p>			</p>    			<br><br>",yes@theatre912.com,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441145489/2newfront_medium.jpg,206-790-8583,Musical Theatre Class with Megan Becker,http://www.theatre912.com,03/07/2011-04/11/2011,http://www.seattleperforms.com/event/detail/441145489/Musical_Theatre_Class_with_Megan_Becker
"202 4th Ave. E., Olympia, WA, 98501",State Theater,"An awkward biology grad student&rsquo;s personal ad attracts an angry young journalism student to his subterranean research lab for an evening of &ldquo;world-changing sex&rdquo;. But when a global cataclysm strikes, their date takes on evolutionary significance and the fate of humanity hangs in the balance. A charming and hilarious comedy spanning billions of years, boom explores the influence of free will, fate and chaos on our passionate journey through cosmic history.<br> <br> Contains profanity and adult situations, including one's personal responsibility, when confronted with the end of the world, to repopulate the planet with someone who is about as far from your personal soul mate as one could possibly imagine.</p>			</p>    			<br><br>",boxoffice@harlequinproductions.org,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441146741/hp_boom_medium.jpg,360.786.0151,boom,http://harlequinproductions.org/seasonpages/11/boom.html,03/24/2011-04/16/2011,http://www.seattleperforms.com/event/detail/441146741/boom
"2222 Second Avenue, Suite 222, Seattle, WA, 98121",Open Circle Theater,"In this fresh take on Richard O'Brien's stage production of The Rocky Horror Show, forget everything you know of the movie and prepare yourself to enter into someone's dirty little secret.<br> <br> While on the way to visit a friend, Brad and Janet run into car troubles and find themselves captive to someone else's idea of &quot;hospitality&quot;. Dr. Frank 'N' Furter and his servants invite the young couple into their home for a night of science experiments including experimentation of the flesh. In this down and dirty rock version of the cult classic, madness really does take control as minds and bodies are bent and no one will ever be the same.<br> <br> COSTUMES ARE ENCOURAGED! HOWEVER - WATER GUNS/RICE/ANYTHING ELSE THAT COULD BE THROWN AT CAST IS PROHIBITED FOR THE ACTORS' SAFETY. Thank you!<br> <br> * Please note: Due to some nudity and adult situations, no one under 18 will be admitted.<br> <br> Tickets available at https://www.brownpapertickets.com/event/162535<br> $18 in advance, $20 at the door<br> VIP tickets available for $25, which includes prime seating, being seated by Magenta and served snacks.<br> <br> WHEN- March 25th-April 16th, Fridays and Saturdays at 7:30pm, Sundays at 4pm. A special pay what you will Monday April 4th at 7:30.<br> <br> WHERE- Open Circle Theater, 2222 2nd Ave</p>			</p>    			<br><br>",monicaw@octheater.com,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441165651/rockyimage-medium_medium.jpg,2064067920,The Rocky Horror Show,,03/25/2011-04/16/2011,http://www.seattleperforms.com/event/detail/441165651/The_Rocky_Horror_Show
"5510 University Way NE, Seattle, WA, 98105",Wing-It Productions,"Goin' Steady: The Musical is an unscripted 1950s Rock n' Roll musical comedy. The show follows the students at Buster Willowcrest High School, as two kids from the opposite sides of the tracks fall in love. All the characters, plot and music for the show will be improvised, based on audience suggestions. Goin' Steady will feature a 4 piece band lead by musical director Rob Scherzer, which will completely improvise the music live every show.<br> <br> Goin' Steady: The Musical features a cast of both veteran musical theater and improv performers: Jon Axell, Jillian Boshart, Christopher Bryhan, Kai Curtis, Mike Murphy, Sara Powers, Mandy Price, Natasha Ransom, Elicia Wickstead and Doug Willott.<br> <br> Goin' Steady: The Musical is created and directed by Justin Sund (D.R., Dirty Laundry) and Rob Scherzer (Nietzsche! The Musical, The 25th Annual Putnam Spelling Bee).<br> <br> performances are at 8pm on Thursdays and Fridays March 3rd to March 18th and March 31st to April 22nd at Wing-It Productions at 5510 University Way NE. Tickets are $10-$14.</p>			</p>    			<br><br>",,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441151801/goin-poster-for-seaperf_medium.jpg,,Goin' Steady: The Musical,http://www.wingitpresents.com/goinsteady,03/03/2011-04/22/2011,http://www.seattleperforms.com/event/detail/441151801/Goin_Steady_The_Musical
"700 Union St, Seattle, WA, 98101",ACT Theatre,"A special Northwest premiere produced by The 5th Avenue Theatre and ACT &ndash; A Contemporary Theatre, to be performed at the intimate Falls Theatre at ACT.<br> <br> In Vanities: A New Musical, you&rsquo;ll set off on a life-affirming journey through the turbulent &rsquo;60s to the late &rsquo;80s and discover how three friends face life&rsquo;s defining moments: growing up, getting older and getting over it. Vanities is a funny and poignant look at three women who discover that, even in 30 years of rapidly changing times, the one thing they can rely on is each other.<br> <br> Based on the original play Vanities by Jack Heifner.<br> <br> May not be suitable for young children. Contains adult language and sexual references.</p>			</p>    			<br><br>",service@acttheatre.org,http://www.seattleperforms.com/sites/seattleperforms.com/images/event/441166873/vanities-thumb-sm_medium.jpg,206-292-7676,Vanities: A New Musical,http://j.mp/eVVAIP,02/04/2011-05/01/2011,http://www.seattleperforms.com/event/detail/441166873/Vanities_A_New_Musical
"2322 2nd Ave, Seattle, WA, 98121",Rendezvous Jewelbox Theater,"We're a group of Seattle actors who present live and televised readings of mostly unpublished plays and screenplays.<br> <br> Minimal costuming, blocking, and rehearsal; this is theatre-in-the-raw!<br> <br> Scripts may contain adult themes and language.<br> Seattle Theatre Readers performances are video recorded for broadcast on various cable television systems, broadcast television, the Internet, and other media.  By attending, you ARE AGREEING TO AUTHORIZE THE USAGE OF YOUR IMAGE FOR COMMERCIAL PURPOSES.  If you do not wish to participate, please do not purchase a ticket.</p>			</p>    			<br><br>",don@str-tv.com,http://www.seattleperforms.com/sites/seattleperforms.com/images/org/220148669/str_logo_medium.jpg,,Seattle Theatre Readers,http://www.theatrereaders.com/,02/21/2011-05/16/2011,http://www.seattleperforms.com/event/detail/441145815/Seattle_Theatre_Readers
